asteroid_id,fname,distance_geo,dist_geo_Ur_upper,dist_geo_Ur_lower,dist_geo_U_upper,dist_geo_U_lower,distance_SSB,dist_SSB_U_upper,dist_SSB_U_lower,HEx,HEy,HEz,ELat,Phase_Ang,Escape_Vel,Object_Vel,min_a,min_e,min_i,max_i,MagCor_input,corr_to_V_apparent,H,H_lower,H_upper,chisq,size15,size15_lower,size15_upper,DorR,Tisserands_imin,Tisserands_imax
AH10406,j8nu04030_4_trailcut,3.415,0.1550000000000002,0.1399999999999996,0.1550000000000002,0.1399999999999996,4.306043347727972,0.1538139213407747,0.1388531543351145,4.369480771533307E8,-4.461062201225869E8,-1.5819904143583536E8,2.874652190815226,7.218815944600667,20.24923433040755,13.17216701938472,3.7191063087511385,0.1401591813563426,2.874652190976431,3.5223828027569706,23.872,23.96415722219881,17.59848323517072,17.76055562874435,17.425882881837794,0.5484707829161198,1.037188573142202,0.962594209232041,1.1229949262602568,R,3.071219719849898,3.070163772166623
AH11762,j8nu05010_3_trailcut,2.005,0.3800000000000003,0.27,0.3800000000000003,0.27,2.968365343313193,0.3770524799179853,0.2674036158807751,3.0306974979497707E8,-3.048129708521812E8,-1.114812503119558E8,2.447813446217964,7.583215405562631,24.38872679481251,15.901296486535252,2.5723525231703293,0.1344952604345243,3.264920936443761,4.7086487961947885,23.488,23.77736818711585,19.35945983899257,19.87852893874441,18.72292473720523,0.3892876542230709,0.460959110269151,0.3629514892484993,0.617972889562511,R,3.414147099492146,3.411706123353996
AH10407,j8nu05020_3_trailcut,1.765,0.05,0.05,0.05,0.05,2.7303547391553216,0.0494893125335709,0.0494703605321538,2.8230205342273515E8,-2.7704526137133765E8,-1.0191745557738198E8,2.3425094913863376,8.270427399012696,25.42952610356361,17.02179894379819,2.463666154115708,0.0861928173910127,2.411156768465629,3.758529514627883,23.421,23.71036818711585,19.720616205992933,19.822724092553305,19.62094982396062,0.8611295629665949,0.3903292789060233,0.3723998968038535,0.4086621407353917,R,3.482071411510465,3.480336454348329
AH10413,j8pc12030_2_trailcut,1.805,0.6300000000000001,0.365,0.6300000000000001,0.365,2.6398345959542064,0.6121351021550434,0.3502112521231506,-2.7034423170751464E8,-2.6326702767511213E8,-1.1645276218051678E8,-0.3078285588593985,15.209820624663887,25.861841567337404,17.645727021955874,2.459209563700847,0.0089640273082418,12.218637171011313,22.401477559267075,22.773,22.95966879983627,18.728563465417515,19.528200395456533,17.62560579869558,0.1429105003699092,0.6163702623284063,0.4264953410476994,1.0243142409886232,R,3.459790543279568,3.3871857633251468
AH10415,j8pc14030_1_trailcut,2.37,0.1049999999999999,0.0849999999999999,0.1049999999999999,0.0849999999999999,3.0041906603640203,0.1009247030840359,0.081490638616029,-4.091858691938055E8,-1.84478842701516E8,-2.2655867189908896E7,6.7206534951397146,16.28935179606892,24.24287147780673,19.089632825452263,3.922229226375424,0.284612415481378,12.654258836071884,22.034249686979223,24.33,24.516668799836268,19.376404620323985,19.51543157244403,19.2105190919814,4.214764632735894,0.4573760783296633,0.4290106327089756,0.4936857049564346,D,2.950868338428616,2.869723842675584
AH11769,j8pr02020_4_trailcut,1.835,0.0749999999999999,0.0649999999999999,0.0749999999999999,0.0649999999999999,2.337232385260032,0.0683665760448026,0.0589133627987972,3.359975750542906E8,8.964001495517817E7,-3.635813364269199E7,-11.384084092133762,24.65422866928109,27.485070623300462,15.961954392311284,1.7589779212446257,0.1429607593437952,11.384084875806025,20.63616017668724,23.894,24.183368187115853,19.8784456217708,20.01219642852103,19.728852467462765,49.74008705240155,0.3629654155593593,0.3412833371552216,0.3888515880933239,D,4.086715508335447,4.035516954126164
AH10430,j8pu05010_2_trailcut,2.29,0.355,0.2650000000000001,0.355,0.2650000000000001,3.252653259648148,0.3539575995077197,0.2640606753657462,-4.4036252407191455E8,2.048354025954405E8,2.988532820838414E7,-6.378663508664161,4.625096685011574,23.298551457153696,14.531222728760948,2.6535046666490016,0.2192160885056471,10.989867165528656,15.164408360469974,22.91,23.19936818711585,18.43839318776237,18.88930073405658,17.9011346325129,0.1567890582404856,0.7044914600898156,0.5723928809652041,0.9022511493568428,R,3.329030127094564,3.306064411757526
AH11771,j8pu0y010_3_trailcut,2.19,0.2550000000000003,0.205,0.2550000000000003,0.205,3.13856141627466,0.2536580184728061,0.2037524943108382,-4.300445035336579E8,1.868110482959377E8,2.4786330414057467E7,-6.305582337167934,6.114578454006458,23.718241632608223,16.160275875941377,2.916705500376788,0.0655947058747309,6.873753831854667,9.895481934377926,23.522,23.811368187115853,19.14895847559589,19.508130498241467,18.741018199903667,0.1828677968137311,0.5078818295119282,0.4304555094985298,0.6128451175589886,R,3.2675371042352657,3.2560486079863784
AH11773,j8pu0z010_1_trailcut,0.76,0.1200000000000001,0.09,0.1200000000000001,0.09,1.7232549840225189,0.1178503842784679,0.0881825660430408,-2.441853658711829E8,8.117580204481085E7,1.5569203852007654E7,-4.005018471511335,11.230890677652928,32.0090683102283,24.35255444144797,2.0321395906035256,0.1761684171739478,4.005019352681348,8.708967575432158,23.087,23.37636818711585,22.094996011362067,22.482752713014825,21.633005106605225,3.421551422972982,0.1307841662807631,0.1093966008440033,0.1617906236785777,R,3.788089739864109,3.7769095865858366
AH10434,j8pu0z010_2_trailcut,3.135,0.6149999999999998,0.435,0.6149999999999998,0.435,4.078937697934708,0.6131811475582998,0.4333434859135332,-5.529278490127972E8,2.5632469908960348E8,3.0215230884535983E7,-6.988028855285023,4.727974019756993,20.805313725829294,9.74474399114713,2.609047507009353,0.5530018338423349,27.420327764090644,27.504629621040905,23.579,23.868368187115856,17.928317778686583,18.49658041299101,17.235239506863238,0.4397172131542968,0.8910268983574586,0.6858644420359084,1.2260451652841486,R,3.041928653083872,3.0411280550993336
AH10438,j8pu18010_3_trailcut,2.345,0.0950000000000002,0.0849999999999999,0.0950000000000002,0.0849999999999999,3.284849965637487,0.0944254073919554,0.0844570630478696,-4.508564596082957E8,1.9401587934945583E8,2.3805393545648526E7,-6.465413635201898,6.395195034127018,23.184089029161616,13.991788100805076,2.5761429507468043,0.2614828678325829,6.466196686437158,8.976469216945526,23.426,23.715368187115853,18.7920642687284,18.928797505668182,18.64428914607516,0.1998043135465548,0.5986066218280428,0.5620757767788139,0.640761694571083,R,3.369645100349248,3.361650714281854
AH10439,j8pu19010_3_trailcut,3.515,0.2549999999999999,0.2199999999999997,0.2549999999999999,0.2199999999999997,4.449131032171801,0.2541777590887788,0.2192110828655655,-6.027947974186988E8,2.805224533567179E8,3.0708657471439537E7,-7.199255641006715,4.732315181134729,19.92095739758465,10.088094068976677,2.9867876851196824,0.4840279774366769,14.78814471714335,24.85126237658776,21.277,21.566368187115856,15.189006378212436,15.439071170028006,14.916284791711604,0.118821263323176,3.145959264315356,2.803755486693843,3.566953207304427,R,3.024282566311069,2.945427854492171
